filename,code_title,lex_uz_doc,adopted,articles_count,last_article,sha256,snapshot_date
bojxona_kodeksi.txt,Oʻzbekiston Respublikasining Bojxona kodeksi,-2876354,2016-01-20,419,412,f89c3319539e9b5e20afddea5e9135f13a83aa2b56482268153567c03991a47d,2026-07
budjet_kodeksi.txt,Oʻzbekiston Respublikasining Budjet kodeksi,-2304138,2013-12-26,172,192,f02aff141feebc8ce9e5d64b9e9af87a89c3c921eca98d5a6161b6ce1a3d5c92,2026-07
fuqarolik_kodeksi_1qism.txt,Oʻzbekiston Respublikasining Fuqarolik kodeksi (birinchi qism),-111189,1995-12-21,386,385,b75b5b254593bbc0fa02dc9fa3ee1430f06505145eacf57dfa6f3c8c54af65f7,2026-07
fuqarolik_kodeksi_2qism.txt,Oʻzbekiston Respublikasining Fuqarolik kodeksi (ikkinchi qism),-180552,1996-08-29,811,1199,c2b7cb1c92be9f578159277ba440da2c7b2887f09b5d1c4fa07f774b425e7b44,2026-07
fuqarolik_protsessual_kodeksi.txt,Oʻzbekiston Respublikasining Fuqarolik protsessual kodeksi,-3517337,2018-01-22,508,462,dd836fc36fc611cb800031ee1c71035f50cd1de877018b960001cef41359aace,2026-07
havo_kodeksi.txt,Oʻzbekiston Respublikasining Havo kodeksi,-55594,1993-05-07,136,135,48ea9a3343fbfbaaea8d8355c3b53c25b701efd1a55c0795b29c2d0fa1abba46,2026-07
investitsiyalar_faoliyati_qonuni.txt,Oʻzbekiston Respublikasining “Investitsiyalar va investitsiya faoliyati toʻgʻrisida”gi Qonuni,-4664142,2019-12-25,69,69,30853ebd39d4ae671d298650e82c9f17a62b3d29fb4ad28acb75e03d5db16b3a,2026-07
iqtisodiy_protsessual_kodeksi.txt,Oʻzbekiston Respublikasining Iqtisodiy protsessual kodeksi,-3523891,2018-01-24,385,347,80444b071a06eb31875ec82bae8f096c6322f49bdf49b74f6cb9a6af30104290,2026-07
jinoyat-ijroiya_kodeksi.txt,Oʻzbekiston Respublikasining Jinoyat-ijroiya kodeksi,-163629,1997-04-25,196,197,132b4c6f5892cdeffb68819db014f14d1fa9856e934007ae7c177abc54818d21,2026-07
jinoyat_kodeksi.txt,Oʻzbekiston Respublikasining Jinoyat kodeksi,-111453,1994-09-22,392,302,e379e52babc66e35faab5012c4f2166880a454a8c3bc618908d5e692050b5a7d,2026-07
